Barcode,PrintPattern
s_008um_00629_00760-1,
s_008um_00466_00212-1,
s_008um_00743_00595-1,
s_008um_00463_00302-1,
s_008um_00587_00824-1,
s_008um_00368_00331-1,
s_008um_00578_00511-1,
s_008um_00276_00508-1,
s_008um_00537_00161-1,Pattern_3
s_008um_00755_00535-1,
s_008um_00443_00035-1,
s_008um_00689_00635-1,
s_008um_00526_00592-1,Random_3
s_008um_00617_00785-1,
s_008um_00557_00791-1,
s_008um_00741_00184-1,
s_008um_00761_00132-1,
s_008um_00486_00130-1,
s_008um_00748_00684-1,
s_008um_00454_00159-1,
s_008um_00559_00754-1,
s_008um_00119_00633-1,
s_008um_00216_00537-1,MCF7_CTRL
s_008um_00648_00216-1,Pattern_3
s_008um_00031_00713-1,Fibroblast_CTRL
s_008um_00441_00277-1,
s_008um_00184_00778-1,Fibroblast_CTRL
s_008um_00133_00833-1,Fibroblast_CTRL
s_008um_00604_00825-1,
s_008um_00630_00379-1,
s_008um_00717_00506-1,
s_008um_00309_00445-1,
s_008um_00138_00829-1,Fibroblast_CTRL
s_008um_00275_00716-1,
s_008um_00499_00189-1,
s_008um_00479_00080-1,
s_008um_00536_00568-1,Random_3
s_008um_00579_00784-1,
s_008um_00753_00276-1,
s_008um_00405_00042-1,
s_008um_00226_00445-1,
s_008um_00327_00199-1,
s_008um_00305_00168-1,
s_008um_00466_00017-1,
s_008um_00548_00525-1,
s_008um_00026_00791-1,Fibroblast_CTRL
s_008um_00222_00715-1,Fibroblast_CTRL
s_008um_00626_00077-1,
s_008um_00300_00230-1,
s_008um_00713_00789-1,
s_008um_00623_00575-1,Random_3
s_008um_00508_00091-1,
s_008um_00593_00498-1,
s_008um_00642_00602-1,Random_3
s_008um_00263_00693-1,Fibroblast_CTRL
s_008um_00065_00150-1,MCF10A_CTRL
s_008um_00509_00546-1,
s_008um_00448_00211-1,
s_008um_00638_00722-1,Random_3
s_008um_00405_00137-1,
s_008um_00224_00081-1,
s_008um_00017_00212-1,MCF10A_CTRL
